age,income,rent,food,transport,entertainment,shopping,education,misc,financial_literacy_score,saving_habit_score,total_expense,savings
18,75692,15065,10764,1948,5554,7232,736,543,4,6,41842,37135
26,77112,11878,10013,4387,1848,3598,7033,2683,3,2,41440,37103
23,46110,2828,5044,698,2857,4544,137,3223,4,10,19331,29062
21,31360,9170,11776,2555,2585,1676,1876,2475,6,10,32113,1655
29,64410,11749,7018,2280,5500,5223,6856,4481,3,2,43107,22886
26,88167,15216,4233,5400,5680,1773,3958,4474,3,2,40734,48483
28,18017,13049,7637,4922,5714,7554,1437,1437,9,3,41750,-21553
22,75124,8785,9467,2213,6876,2976,5551,3089,3,5,38957,36959
22,65949,10998,5246,3592,6408,2841,2287,4815,1,1,36187,31267
29,73268,6655,6041,4004,6167,5039,6680,3517,3,9,38103,38076
22,81320,8918,3889,5646,5108,3642,216,1506,8,5,28925,55850
18,46127,5436,9676,3067,6793,2710,2928,3106,9,7,33716,17130
18,18196,6872,4655,1429,4042,3914,7959,4245,4,5,33116,-14045
25,56300,2360,5718,5125,6858,8184,3083,2411,6,10,33739,26484
29,64714,13909,7535,5852,2946,7774,7366,3307,10,3,48689,18548
25,46921,6599,11248,1919,6177,2527,6650,4624,8,3,39744,9100
29,19746,12168,4129,2505,2100,5226,6561,1261,7,4,33950,-12071
23,83535,8731,11698,1830,3577,5394,386,4716,8,10,36332,51284
29,80350,4077,3630,3057,6555,2499,5253,514,3,3,25585,55357
28,65345,15750,7060,923,2736,5204,5434,2767,4,10,39874,29012
21,64220,6691,2991,649,2186,6117,922,4902,1,6,24458,41978
19,37063,19773,6590,3963,5255,2121,4690,2205,4,5,44597,-6057
19,86736,5514,11385,2013,4623,5071,2887,3234,5,1,34727,52607
26,60971,4919,8866,3215,2501,3511,35,4403,2,4,27450,34189
22,18598,18385,10894,3493,634,6708,828,4200,1,8,45142,-25346
21,25564,2393,11222,5666,2289,8152,5862,2896,5,9,38480,-9064
27,64725,15457,6921,638,4900,1114,1635,4597,8,10,35262,34774
18,74940,2529,10021,4225,3042,4580,3537,1555,8,6,29489,47902
24,77085,14211,4481,2370,5319,1504,4806,1833,9,4,34524,45629
20,32862,8495,10754,2561,3851,8203,6135,3836,8,10,43835,-7886
23,25265,8953,8281,2495,3407,3722,3264,2822,7,2,32944,-6486
22,24705,3713,10558,3318,5487,6642,7556,1145,1,9,38419,-10490
22,70279,2635,8249,2413,2770,8698,6825,2901,10,8,34491,40235
28,77471,17193,2793,4780,4174,8183,5261,3316,1,5,45700,34546
22,77979,16633,6731,5734,2527,8430,6391,3968,8,8,50414,30741
18,70828,11309,2986,1242,1327,4265,2368,3321,5,6,26818,45697
18,61104,17778,11149,4681,6909,4550,5643,1110,6,1,51820,10283
20,55934,9445,5595,4733,1843,3011,4818,1680,4,8,31125,28539
29,21050,14415,2854,4037,6896,4135,3457,4789,4,5,40583,-18415
27,58952,16281,3569,576,4794,6213,2829,3645,10,3,37907,22888
21,23484,8602,4256,2491,3627,3395,3394,2330,9,1,28095,-3465
22,77648,2037,6103,5756,906,4405,6770,1324,8,8,27301,52638
19,74945,11824,6176,4205,1961,2416,3938,4239,4,6,34759,43155
25,68678,5775,9961,3522,2274,4777,1484,3090,7,7,30883,42424
28,46323,12555,7254,5371,6076,7072,2032,512,8,3,40872,7701
28,50361,7120,10429,1516,6096,7451,322,3622,7,10,36556,17912
19,25315,16678,9906,596,1870,4630,7437,1124,5,8,42241,-14330
26,62968,19425,8001,1494,985,4363,5025,2527,10,3,41820,25000
19,41519,6715,3732,2054,862,1174,5932,1805,1,5,22274,21715
26,24107,3394,2814,1532,4301,2400,1160,643,6,6,16244,10513
24,70781,4869,9035,582,711,7829,5513,3327,8,8,31866,42128
25,18869,5676,3186,2035,5296,8409,2951,4329,6,5,31882,-10027
28,42370,5721,9581,5025,3161,5003,1692,771,8,1,30954,14310
19,77695,7690,4225,5709,1415,4599,6204,3623,6,1,33465,44626
24,75422,7818,11176,1012,1960,4956,1973,2541,2,6,31436,45906
29,22971,2234,8423,2422,4738,6565,2982,3142,6,10,30506,-4759
23,40651,5140,10989,2197,3856,3537,3069,2029,9,6,30817,13912
21,71974,10638,7173,3985,1593,1089,1824,3135,2,10,29437,46510
24,38446,14897,10735,3060,6467,5977,2966,2913,3,10,47015,-5341
21,53108,19383,7882,2414,5553,6247,6471,1163,9,7,49113,7019
19,18823,19718,2519,5253,2233,2389,2942,952,7,7,36006,-14270
27,28454,10325,7041,4476,2051,2882,2215,3043,1,9,32033,233
29,18932,12624,3454,1146,1833,2832,2405,4784,4,6,29078,-6516
24,25220,8090,8870,1297,1364,1559,5654,4131,4,10,30965,-3324
25,89090,13377,9213,576,1786,3895,3130,4471,10,3,36448,56596
19,82965,19495,9759,3183,4655,8130,7601,1731,5,3,54554,29509
22,43208,16870,11250,1241,5117,894,2915,3640,7,4,41927,3679
18,87980,4103,11304,1725,808,1066,1983,3105,5,6,24094,65492
24,25510,7125,5406,4702,2043,1572,1847,3036,10,4,25731,1891
25,59045,8590,2946,1464,1905,3010,682,4006,6,2,22603,39522
23,25537,12212,6030,5911,6984,7980,6227,4116,9,7,49460,-19194
22,87683,11600,10327,5281,6221,6600,2295,2349,2,2,44673,43320
23,84134,4921,2792,5536,2072,2902,4921,4957,6,5,28101,57436
19,87254,6734,3136,811,2501,6986,5615,2269,6,5,28052,60567
18,28782,18037,11554,3146,1399,2602,3069,748,1,8,40555,-8221
24,80587,2836,2554,3231,1607,7564,3967,3664,6,10,25423,57443
24,37072,14094,9037,1132,3805,7641,3467,3325,7,5,42501,-3378
27,87746,11028,5403,5263,5357,5939,931,3335,7,10,37256,53657
28,60702,12749,4254,5194,4835,3961,3016,3181,3,6,37190,26791
27,21057,17432,3366,4181,4294,4423,2528,736,8,4,36960,-13672
19,45916,13051,2948,914,4820,2817,645,1131,7,4,26326,21524
19,42268,17586,10295,3706,4874,6491,7455,4218,4,3,54625,-10569
18,58978,7312,9809,2042,6012,1465,4288,4185,4,2,35113,26249
27,38259,5822,9207,1271,6297,7482,5819,3635,10,4,39533,2347
25,68583,13622,11238,4979,4384,2732,6581,2773,7,9,46309,26861
25,49293,18099,9419,3087,2976,4113,499,2850,2,9,41043,10710
18,22043,19188,6026,986,901,1531,4247,691,5,4,33570,-8989
29,65430,3075,7956,2279,2593,4295,668,1796,6,9,22662,46781
28,53893,16063,9369,529,3747,4367,5639,934,4,5,40648,13896
25,55642,18383,9322,629,3571,8081,2316,3697,1,9,45999,11627
26,45868,11605,4614,5689,4356,4586,4670,2751,1,9,38271,9575
21,41309,6452,11155,4714,4201,3703,5656,4313,3,9,40194,2670
18,38284,14298,5271,2874,2307,4918,2038,3391,9,9,35097,6130
18,84000,14368,11029,4483,1889,5501,6300,3086,2,7,46656,37996
20,77107,9428,9384,3641,5792,2649,6330,3661,5,9,40885,38311
22,80049,17817,7678,707,4899,5390,316,4130,7,1,40937,39403
22,44265,4420,2881,4686,6795,6718,2647,1126,2,4,29273,16773
26,38880,6317,5188,4715,2898,5339,5756,2587,1,6,32800,9120
27,15255,10412,5334,1481,5300,6879,986,4152,7,6,34544,-17124
29,16502,18321,4198,4802,591,5888,5362,659,5,1,39821,-23295
19,85192,2227,10403,5001,3732,5483,5657,1623,7,1,34126,53630
19,80424,13456,11407,2671,6749,4138,6227,3872,1,1,48520,32213
23,85966,2955,11072,611,5722,5322,4291,1767,6,8,31740,57649
26,56366,19881,2754,5209,2679,4924,7445,835,6,1,43727,14049
18,42425,11472,7217,5540,3316,6427,5254,2365,7,9,41591,4701
26,67328,3978,10892,1909,1812,2917,6072,1903,8,10,29483,43252
26,82396,19913,2370,1205,5053,4242,5949,999,9,2,39731,45618
26,86694,14675,3732,3279,4529,758,4473,3284,10,9,34730,56319
22,20806,18128,7259,4699,1398,4972,2165,2346,5,9,40967,-17830
26,32106,17668,2801,3100,3672,644,1937,3379,4,2,33201,486
28,71731,9445,8399,3115,6432,6723,7945,4354,5,4,46413,26019
21,47599,6284,11181,5357,3592,3610,3870,2583,10,9,36477,16714
19,86326,19585,6771,3474,748,3253,6169,1431,5,9,41431,49546
23,24004,9131,9007,5539,2739,1208,3766,3124,9,8,34514,-7042
21,66364,12614,2415,1347,3132,8937,4334,532,7,5,33311,35703
23,40792,2759,5337,3443,3884,4928,7276,1646,2,1,29273,13038
20,79912,15684,7258,3720,4763,8070,5209,3449,2,2,48153,32334
23,69645,11680,10027,668,6193,3312,381,3954,1,4,36215,36097
19,22232,6371,7057,1484,6814,6619,2840,3902,2,9,35087,-11416
19,69766,14651,8967,1607,4204,7675,1655,3000,2,4,41759,30110
26,63542,3665,3620,3067,5835,751,7859,4099,5,5,28896,37814
24,20913,8918,11727,606,6128,3443,5137,1549,9,1,37508,-13688
20,25567,12194,7982,5480,1697,2505,663,1189,7,5,31710,-3886
28,53379,13213,9993,3205,2491,6661,501,3625,5,2,39689,14034
18,89968,17745,4792,2578,5003,3813,619,4431,10,9,38981,54850
25,15319,9636,10764,4118,1000,1776,5774,4801,4,10,37869,-18726
23,19791,19749,9386,4842,1661,1948,1919,4224,6,10,43729,-19886
24,15329,9344,6893,3473,598,7392,6919,2326,4,9,36945,-19164
26,89387,5201,7096,2053,3628,1702,3626,4290,10,5,27596,64228
22,76032,6752,6856,2502,2794,8703,216,767,7,8,28590,52282
18,59078,11575,5655,997,1212,6499,3042,1592,3,10,30572,30863
29,36300,12327,10484,5449,4414,7240,6167,2579,8,6,48660,-10251
27,65945,17891,6293,4899,606,6938,5613,632,8,10,42872,28400
24,70609,15029,2079,1921,5667,3683,5881,4878,3,8,39138,34614
22,75562,8091,6308,3974,545,2473,5095,515,7,9,27001,53010
20,76901,19905,3862,4911,2943,2769,6516,3161,1,4,44067,33803
29,20703,17866,2618,4873,3631,5889,2661,4805,5,10,42343,-17796
26,78115,9521,2959,1041,5766,6683,5588,2756,9,4,34314,47426
18,42676,17410,5735,1288,3163,3052,7669,4892,2,7,43209,1856
18,76710,7820,10114,855,6199,5923,5952,4451,3,5,41314,36734
18,75077,13453,4168,4474,1449,5117,5657,972,4,4,35290,41324
20,60440,6696,5245,1726,4068,7977,329,1340,2,2,27381,34684
29,51923,3867,9235,749,3221,2198,7321,1649,10,2,28240,27396
23,44802,17723,11914,4698,4298,2852,5953,2824,6,4,50262,-3600
27,77904,13817,3161,3895,5737,6078,935,4270,5,10,37893,43266
28,75162,2168,4040,4469,6880,7239,7949,981,5,8,33726,43768
20,80169,12213,10160,1031,3789,7205,6560,3983,8,8,44941,37803
25,83147,17223,7649,1058,5224,7055,1464,1958,6,7,41631,44878
27,37075,13452,11291,2119,3834,8911,422,3734,1,4,43763,-5625
19,89716,10027,9318,1791,6813,2132,5760,3501,1,7,39342,52405
26,24304,18291,11880,3624,6327,6967,2653,2813,10,9,52555,-22659
20,74622,12641,9483,5380,3721,8057,7204,2865,10,8,49351,28361
22,69215,2224,6132,4613,3817,4729,3345,3669,5,5,28529,42845
27,88973,10749,2844,1627,5096,5444,1181,2407,3,3,29348,62217
25,27521,8582,7777,4747,2317,3684,1690,4577,8,2,33374,-4560
19,39028,3573,3643,4411,4544,6576,4795,3036,2,4,30578,11051
23,54328,10577,3263,5468,2721,7030,3504,4084,5,9,36647,20499
29,42301,10712,4934,1607,5188,3937,4208,3465,6,10,34051,12481
22,53015,8763,8139,5927,4767,3605,4637,766,3,4,36604,18599
27,51845,14164,9174,5770,1457,8753,940,1635,8,9,41893,15064
26,59159,7217,2215,5144,5404,4682,1780,2558,8,10,29000,33784
29,58714,18272,6776,2187,5218,1390,7779,842,6,5,42464,18101
22,40230,14734,4340,4971,5314,5746,5652,3308,9,3,44065,36
19,64262,13353,9706,4803,2885,4421,3509,4229,3,6,42906,23723
22,56722,5501,11699,5055,1934,3360,3471,3632,3,9,34652,24937
29,61359,15530,4090,3975,3669,2878,2000,1502,8,8,33644,30024
21,77796,14394,3116,3077,3484,6895,17,779,10,3,31762,49644
28,55159,3499,9750,3032,6136,5858,6305,4886,4,4,39466,16788
24,20239,11669,7334,4717,3756,2582,7572,1463,10,4,39093,-17141
23,65886,12519,4161,2529,1936,8283,5579,2569,1,1,37576,28781
19,42195,15239,5256,1643,4973,5529,158,3070,8,5,35868,8908
29,49674,4039,11340,4846,1932,1906,1033,1135,8,3,26231,27022
28,33105,10311,5176,5918,2274,3257,4968,1109,5,7,33013,2149
28,44739,5857,8380,5491,917,7868,5881,2623,2,7,37017,9148
22,46969,6950,5345,4243,6974,7900,7683,2741,7,5,41836,8841
24,29497,17441,8996,4090,1482,4067,5134,4398,4,5,45608,-12998
28,16816,14735,11332,4298,6923,6432,564,2022,8,1,46306,-27302
24,74254,3743,4933,2247,1638,2624,698,3303,10,4,19186,57245
22,84385,15283,9741,5319,3428,5837,3126,4317,6,1,47051,37585
29,48826,11638,7655,717,1733,6623,6589,3867,7,1,38822,10680
26,78365,5616,4448,3310,5042,2921,6057,667,10,8,28061,55216
21,65100,17383,2827,3915,1330,552,1768,2726,2,9,30501,36295
28,19359,5894,7896,5933,6013,6215,3227,3804,5,2,38982,-19278
20,27809,8227,3203,2216,4593,4853,889,2940,4,9,26921,2492
21,79450,12464,8619,5199,5800,2234,390,4234,3,1,38940,42531
22,53428,9847,8798,789,4788,8534,6282,1152,7,9,40190,16451
23,87790,6281,2844,5197,3360,3966,5532,1934,1,1,29114,58974
20,17093,4143,4971,3768,5875,1427,5793,1747,6,10,27724,-7531
19,59498,16780,3268,3243,2468,4844,7027,2124,3,10,39754,21874
21,55985,5181,6744,1109,2971,6712,2809,4350,7,8,29876,28124
22,47009,8520,9735,2853,5301,7564,2172,4867,9,1,41012,8181
21,32718,15052,11821,1035,6255,3199,3699,4467,3,8,45528,-8834
28,31705,14271,5530,3791,6734,839,2266,3216,1,1,36647,-5597
29,77598,19480,7085,4257,5243,2921,4376,1324,3,8,44686,36051
20,27239,14499,10995,1256,5390,5480,2487,1588,9,2,41695,-11174
25,61622,10915,10319,4349,5336,6900,7919,4160,10,5,49898,14531
27,61665,18122,11143,853,6788,3063,6245,590,4,7,46804,17228
21,47274,13431,4264,5330,4837,3839,3111,4062,3,8,38874,11763
19,26419,8918,2019,4391,2009,4499,2518,814,7,6,25168,4905
19,30003,10148,3781,4830,5650,5442,1399,1438,7,8,32688,1880
18,45866,15038,8857,805,1272,2855,5724,3434,4,3,37985,8922
21,36988,15805,6834,5729,5679,3279,1214,3209,9,7,41749,-236
27,70894,9749,9296,3495,4172,6417,2481,3037,9,7,38647,35374
26,20674,4871,10748,5632,4486,3038,2058,2632,2,2,33465,-13259
28,85538,6489,4244,4208,4696,3185,5819,1909,7,10,30550,60189
24,81446,6607,4983,2714,3357,4575,7871,3714,8,3,33821,50709
29,44072,14973,4725,4648,3180,5302,5365,3299,8,8,41492,6933
27,48717,14111,6599,1709,2278,1874,6275,2507,10,9,35353,16659
24,41651,7834,7366,775,2519,7675,6627,1355,1,2,34151,9572
24,59291,11912,6887,646,3424,5850,414,525,2,9,29658,32447
25,78350,5399,2196,4048,1088,2226,7497,3913,8,3,26367,54218
18,19646,9604,7226,5225,772,8292,6965,2318,7,1,40402,-19669
27,54713,12957,4828,2453,3429,8480,3919,774,7,1,36840,18462
27,82936,9731,5988,1351,2534,5815,4663,4120,1,7,34202,51206
25,59331,17808,7732,5023,2001,7549,2909,1435,2,8,44457,17001
21,37185,4261,7279,987,2605,7107,2402,4330,2,1,28971,8010
21,67107,13809,4469,2053,5578,3462,1579,3699,3,7,34649,35632
21,81554,19696,3630,5996,4076,8602,1744,3166,3,7,46910,37454
23,32563,12056,5278,2261,4982,5413,260,1407,3,7,31657,3392
24,85729,2997,4038,3683,6227,3375,5826,3487,4,6,29633,57376
23,30701,17155,7432,1083,4640,1079,6735,4306,4,4,42430,-8555
18,84072,8353,7021,5211,6934,8851,5106,2370,9,4,43846,43732
29,63217,5207,6330,4810,1781,4072,4675,3010,3,10,29885,36690
25,59610,11275,8470,5105,1314,3395,7816,2323,3,6,39698,22619
27,65131,17874,9077,1010,1769,963,7171,755,9,8,38619,31422
28,44410,5086,6761,4621,4835,6283,6484,3420,4,8,37490,9854
24,73715,17973,7219,4313,3984,6794,969,1156,6,3,42408,32938
23,53665,19105,9001,2740,1651,1521,5748,3051,10,10,42817,14044
23,30957,16870,3387,2650,2237,3433,94,3139,5,6,31810,2575
22,63127,3154,2641,5824,4871,3442,3792,4394,10,4,28118,38196
23,78589,18029,7612,3702,2965,6856,6159,4706,3,9,50029,30830
29,61008,9167,9210,842,2754,7228,6118,3310,8,7,38629,25155
26,76920,2016,2574,1923,2075,3893,5230,1791,5,8,19502,60911
27,47875,9097,11913,4367,1332,1165,4081,3424,8,1,35379,15294
26,16626,15165,11210,4895,1869,6831,4421,4134,6,4,48525,-29374
27,78822,13654,9796,645,4402,4143,5341,547,9,6,38528,42313
25,86765,19830,10591,3317,1067,1267,7438,3268,2,6,46778,43161
27,87413,18205,6690,5057,4755,1837,874,2013,7,2,39431,50926
26,48642,11657,3456,1415,6453,4897,3507,569,10,7,31954,20704
27,53311,13959,3595,5419,4691,4559,2718,4202,4,3,39143,16413
25,47356,13819,10308,2411,4496,2647,4189,4596,10,6,42466,9013
25,18809,5083,9986,4201,3687,1911,5092,4483,7,3,34443,-14044
18,58371,11735,10574,1839,3783,7089,335,3361,9,6,38716,24157
27,49875,8952,4129,2746,1098,4650,6955,4675,10,10,33205,20879
28,24465,16637,2831,4417,5926,8163,1524,2970,1,10,42468,-14758
22,81095,11463,6968,3451,6911,7398,163,2085,5,8,38439,45119
21,88844,7391,5481,997,543,2674,2941,1933,6,5,21960,70554
19,80250,16468,4117,3448,5607,4551,5505,2513,4,1,42209,39886
25,30250,17091,6482,1290,4029,3892,6555,1940,10,3,41279,-7440
20,61023,16964,4006,4700,6342,3967,4463,862,6,1,41304,21040
21,61624,10964,10488,509,2381,8070,7463,1799,1,8,41674,22370
29,31427,9914,8760,3598,4043,8917,318,1752,8,7,37302,-1230
24,48276,16476,10910,3316,6652,1833,1278,832,6,10,41297,10720
27,86643,18866,7694,826,6544,918,1854,4037,10,4,40739,48097
26,18439,9437,8062,4066,2383,4884,1808,3552,4,4,34192,-13285
19,32300,13371,5079,1382,880,6138,6632,1180,5,1,34662,-946
20,75289,11773,7278,2171,6451,5468,6693,2814,8,4,42648,36466
21,32182,7203,2010,5502,6262,3316,2943,2090,2,1,29326,2181
27,85507,17430,6880,1237,2662,667,1443,3801,4,5,34120,54892
18,65912,14462,2410,2674,2158,5509,6047,1502,7,5,34762,34200
24,41909,11033,2598,5735,4983,3582,3765,4673,2,2,36369,5492
19,34659,17754,2823,1423,5505,2904,186,3419,6,10,34014,5204
22,46403,5320,9876,4766,3392,2678,6168,1317,9,2,33517,15116
18,48586,16979,7217,4982,6543,6959,6285,2408,2,9,51373,1246
20,25360,4728,9086,3324,5938,5199,427,860,4,2,29562,-2702
29,36424,19338,2312,5607,3482,3885,1147,560,10,5,36331,4585
19,63791,3595,8671,1653,1375,7129,4120,4602,10,9,31145,38270
18,18065,4288,8700,2570,4015,610,1826,1794,5,8,23803,-1913
24,83795,8845,4492,5100,527,5909,4572,3394,10,2,32839,52382
22,27300,9663,2230,1420,1135,8938,5582,712,8,2,29680,471
18,48370,19127,5740,3982,2515,6241,6990,1688,5,5,46283,4217
23,84831,19878,2043,1943,6017,1944,3758,730,5,4,36313,49142
22,42209,8944,9532,5007,2624,4720,5550,1167,10,3,37544,8407
20,35927,14302,10092,3301,1086,6334,5351,2911,9,4,43377,-3277
29,49579,12180,9278,2275,5805,2807,1680,2562,10,2,36587,16245
24,24032,2207,5457,528,4122,1034,7512,3689,6,2,24549,800
28,55731,3083,7384,2792,4829,8771,5142,4683,5,4,36684,20313
27,68767,5311,7615,4203,6573,4867,6125,1250,3,3,35944,35010
26,87302,10588,7506,1325,3970,6475,3807,2774,1,7,36445,51904
26,64954,18592,4995,4241,4924,4136,121,4397,6,9,41406,27160
26,40102,15444,5638,5679,4214,3624,3294,4226,10,1,42119,827
19,49433,7850,9517,638,3576,1395,982,1767,9,7,25725,28320
20,30932,14719,5284,4952,2895,6871,1253,920,4,3,36894,-5061
24,40714,18517,10362,2759,4509,6577,16,4597,8,4,47337,-3960
22,72803,19022,6341,1662,3970,4263,5404,1883,2,2,42545,29995
19,54743,3228,11831,3939,1782,4396,4097,4408,2,5,33681,22050
20,17552,6019,2616,3033,6629,3259,266,4154,4,8,25976,-4531
27,71627,11482,2239,1859,890,2739,5647,646,2,2,25502,47938
23,60987,16105,8052,2725,6481,3594,4018,4353,6,8,45328,19930
24,60380,11895,8454,3060,2443,1859,1872,3385,8,9,32968,32099
26,44250,16135,11114,4172,6632,2053,5652,4384,3,5,50142,-3129
18,83344,18245,6887,2660,2450,3035,250,1853,3,9,35380,49526
28,79686,12387,3904,782,3137,8678,4372,4384,4,8,37644,45645
24,60028,19359,8165,1639,6467,4567,5125,1270,5,2,46592,15969
25,30295,16904,2812,2297,6758,1883,5933,2623,3,5,39210,-5844
29,70248,8121,6999,4636,503,8180,5356,2839,6,9,36634,37306
20,25523,3028,9642,3479,3190,2895,3606,3961,5,9,29801,-1731
21,60530,18909,3730,1690,5747,5361,1849,2273,8,8,39559,25372
27,28769,4327,11023,1744,4604,3783,1720,3176,10,2,30377,1640
23,78042,19219,5424,4908,6761,2408,6076,4636,4,6,49432,29683
27,59645,4483,8062,2430,4038,3661,2271,2240,6,1,27185,35178
24,77142,4734,4207,3018,3247,518,3622,892,9,7,20238,59421
21,40557,11730,5368,5750,2174,5701,940,2173,6,6,33836,7922
25,52085,12102,7471,547,4034,6380,7653,540,10,8,38727,18472
22,65708,9304,4227,633,1431,8186,3484,3470,5,7,30735,36590
18,66357,6049,9639,3546,624,6451,5150,2557,8,2,34016,35566
21,28470,16947,6380,2864,6866,5882,472,1060,4,2,40471,-10032
20,21805,11495,3820,4009,6971,2884,513,1414,6,2,31106,-6937
26,77028,2392,10840,4006,5612,2833,5461,2595,7,6,33739,46653
25,65772,13776,2188,2633,3365,4849,2212,3695,10,10,32718,38126
18,67104,12867,11414,5667,758,3144,299,1674,6,8,35823,34306
28,88616,4466,7221,4594,6710,7868,7118,2135,8,1,40112,49193
23,21630,3225,10670,3037,4168,1763,2501,3185,2,2,28549,-5023
26,30701,16987,8746,2971,3633,1418,2686,4262,5,5,40703,-8269
24,29859,2461,6612,2934,1471,5415,3902,2814,3,9,25609,6711
21,36183,11993,3888,5521,6145,1180,3961,3830,4,8,36518,3940
18,55438,13465,3550,4835,4874,972,2528,4335,10,1,34559,23242
29,57244,18535,9059,4022,1646,8532,2122,2992,8,8,46908,14717
19,89312,12461,7233,2805,5184,8429,2356,3132,2,7,41600,50419
29,30021,14366,7635,4639,2819,4824,4171,2115,9,9,40569,-7306
22,84863,3785,2033,5787,4548,6458,4055,1531,7,4,28197,59323
29,70565,8242,10487,2310,5097,3970,2434,1692,1,10,34232,38820
28,63043,16312,3429,5810,3840,7870,7517,2699,3,6,47477,17765
22,88150,8356,7246,1163,1392,4644,3346,880,8,4,27027,63756
25,79361,11589,3987,3554,3115,5322,7468,3532,2,4,38567,41878
23,16245,3493,8271,5349,4813,6308,3004,4339,10,9,35577,-14837
25,56011,19932,4882,4700,4123,3511,2794,1850,7,1,41792,15742
19,25355,7163,11901,5522,2706,1597,7222,1953,1,10,38064,-9062
20,63692,11612,3547,3992,859,8051,3782,3631,3,7,35474,29791
23,64004,16297,2462,5968,1988,1949,4555,1651,10,8,34870,33524
29,44714,7704,8707,1453,6260,5950,1564,1906,2,6,33544,12575
27,32198,8688,7305,2173,790,3399,5935,1693,2,1,29983,1527
20,81951,17835,2513,1842,6679,5003,1863,1051,10,6,36786,47928
23,16652,12341,7174,3991,3526,4666,1598,1550,2,4,34846,-17710
23,58625,9353,5566,3242,5455,6063,4756,2552,4,8,36987,23586
19,33740,11142,5803,2604,2613,1960,6456,3879,6,7,34457,1723
24,18810,17266,5938,739,2704,5881,2316,2266,1,8,37110,-17225
29,31569,10216,3471,3124,6174,8210,3568,752,10,1,35515,-367
19,41783,17932,10003,3549,4358,6798,6298,678,7,10,49616,-3471
23,24471,14017,2337,2609,6764,7592,1219,756,7,9,35294,-8510
18,21163,2569,9051,4747,6835,3622,6623,4415,1,10,37862,-13868
20,78087,7112,9444,4725,4047,1595,1879,3236,10,10,32038,49715
19,77071,3355,5412,1963,5973,5531,5567,1979,9,3,29780,48361
24,31065,10056,4392,5831,2066,3641,3176,3101,8,2,32263,1009
21,63348,18086,2976,899,2904,5587,1800,1667,2,9,33919,33248
25,34154,19214,6978,3221,5126,5617,5193,4116,7,1,49465,-13132
23,35229,16220,6068,2437,979,3858,1098,3142,2,6,33802,4527
29,67587,16498,11895,5136,5392,6557,1120,4172,4,5,50770,20182
27,64713,2834,2871,681,5692,5963,7408,3539,5,4,28988,39042
21,41997,13308,5409,1574,1599,4380,5510,3882,10,10,35662,11258
22,36101,2969,4589,3073,2735,3389,3722,1247,3,1,21724,13794
26,55391,2592,3549,2897,4262,8421,7276,3260,7,2,32257,25292
24,87723,2254,6461,1581,6610,8138,4123,3210,7,4,32377,56562
27,74405,12306,4621,918,5957,7956,3173,2992,6,6,37923,39573
26,49948,4661,4529,1660,975,2348,2909,595,7,6,17677,34327
24,68031,17309,9162,1139,3877,4076,4214,4939,3,5,44716,25590
29,52921,10794,10351,2584,1416,4301,1607,743,7,8,31796,25523
18,87571,7905,8399,5089,5244,6369,3098,4208,7,3,40312,49521
29,43460,4431,4581,858,2709,844,149,1037,9,9,14609,33698
25,36071,9756,8565,2303,5397,2926,681,3966,2,10,33594,6140
21,81118,7353,9105,5704,6690,4727,5791,4871,3,4,44241,39943
20,63282,19349,8956,1038,2571,1734,5261,2335,4,1,41244,22186
24,73445,3737,4934,4939,1859,5312,3225,4357,8,6,28363,46720
29,69816,18868,4311,2718,1807,4672,7659,4296,1,2,44331,26721
20,18060,14326,4795,2213,2721,5528,761,2177,2,4,32521,-14401
25,28731,14911,6328,1365,5474,2090,182,1101,2,3,31451,-2509
23,35719,7213,8823,2567,6614,5067,7370,4012,2,3,41666,-4416
22,62042,8227,6328,2850,3321,3589,5190,4535,2,2,34040,27546
21,64116,13279,5588,1275,4825,4851,2230,1573,7,8,33621,35030
25,41325,17836,5116,5592,1202,4954,172,2135,6,2,37007,6306
25,37597,10796,6653,3768,617,6695,2589,771,7,1,31889,8090
29,82439,18351,5747,5171,2600,7366,1857,4442,6,5,45534,38326
18,29551,19352,8824,4127,3763,6358,354,4564,10,1,47342,-16012
26,39278,18820,3459,1535,5543,4628,2201,2006,1,6,38192,3740
22,30141,12966,6430,860,5167,935,6744,4918,6,5,38020,-4319
21,82913,15967,4451,3319,2460,7640,2432,2311,4,1,38580,44980
23,48615,3809,9331,795,5118,3990,732,692,9,7,24467,27130
23,77751,8546,6090,1926,1271,5444,919,1007,6,3,25203,53404
19,42452,10107,10963,4009,3329,3360,1334,1661,9,2,34763,10028
25,37725,7505,7041,3316,4708,7223,5144,4022,8,10,38959,1721
24,65391,7257,3111,5994,1787,1573,5217,4499,5,9,29438,40659
18,26698,17051,11786,3365,1867,5817,4649,4040,10,3,48575,-19951
22,17365,6909,11473,1192,4094,876,5419,2158,7,8,32121,-12458
29,58372,16866,5585,5095,598,3093,3140,2635,8,4,37012,23824
23,59134,12021,9601,1567,1546,935,360,4733,5,6,30763,29670
21,52823,17358,4373,1632,4834,5891,6027,4303,8,8,44418,11534
19,86158,2461,8842,1621,5882,3439,6919,4333,10,4,33497,55666
21,16949,17732,10533,1741,5944,8243,873,2365,9,3,47431,-29260
18,64396,5233,7098,1446,4303,8682,1086,4444,5,9,32292,34896
24,46912,14128,6723,3647,4255,4123,717,3473,8,10,37066,14268
